Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Colorectal cancer	36/86	4.631789e-01	9.999969e-01	0	0	1.043818e+00	8.033664e-01	RALB;TGFA;PIK3CB;BBC3;CASP9;MAPK8;NRAS;AKT2;MYC;AKT3;AKT1;RAC3;RAC1;HRAS;RALGDS;MAPK3;APC2;SMAD2;TCF7L1;MAP2K2;SMAD3;AXIN1;BRAF;FOS;TGFBR1;DDB2;EREG;GADD45G;PIK3CA;RPS6KB1;BIRC5;CTNNB1;CYCS;GRB2;RAF1;SOS1
KEGG_2021_Human	Ubiquitin mediated proteolysis	58/140	4.742051e-01	9.999969e-01	0	0	1.025422e+00	7.650832e-01	UBE2D2;KEAP1;UBE3B;UBE2Z;HERC3;HERC1;UBE2Q1;CDC26;FBXO4;ELOC;BTRC;SKP1;PIAS4;PIAS3;ANAPC7;FBXW8;UBE4B;PIAS1;DDB2;DDB1;CDC34;UBE2R2;ANAPC4;ANAPC5;CUL3;XIAP;RNF7;UBE2J2;ANAPC10;UBE2J1;COP1;SOCS1;UBB;UBR5;VHL;UBE2F;UBE2H;UBE2I;PPIL2;UBE2B;SMURF1;UBE2C;HUWE1;WWP1;UBE2G1;UBE2G2;PML;CUL4A;ITCH;NEDD4;CDC16;UBE2U;UBE2N;TRIM37;TRIP12;SAE1;UBE2K;CUL4B
KEGG_2021_Human	RNA degradation	33/79	4.745419e-01	9.999969e-01	0	0	1.040006e+00	7.752258e-01	DDX6;BTG1;ENO1;TOB2;TOB1;EDC3;HSPD1;EDC4;EXOSC10;EXOSC9;DHX36;PABPC4L;EXOSC3;EXOSC2;HSPA9;PNPT1;LSM5;LSM4;LSM3;LSM2;CNOT4;PAN2;CNOT6;LSM6;XRN1;CNOT2;XRN2;PABPC1L;CNOT8;DCP1A;PFKM;PFKP;DCP1B
KEGG_2021_Human	N-Glycan biosynthesis	21/50	4.864349e-01	9.999969e-01	0	0	1.049751e+00	7.565053e-01	DPAGT1;ST6GAL1;ALG6;RPN2;RPN1;SRD5A3;ALG2;ALG3;ALG10;DDOST;DPM1;FUT8;MAN1A2;MAN2A1;MGAT5;MGAT5B;MAN1C1;MGAT1;MAN1B1;MGAT2;ALG10B
KEGG_2021_Human	Thyroid hormone signaling pathway	50/121	4.902293e-01	9.999969e-01	0	0	1.020888e+00	7.277728e-01	THRB;SLC2A1;PIK3CB;MED16;ACTB;CASP9;MED14;MED13;AKT2;MYC;AKT3;AKT1;PLCE1;PRKACA;HRAS;PRKCG;NCOA1;NCOA2;MAP2K2;NCOA3;ATP1B1;NCOR1;PLCB4;PIK3CA;RAF1;PLCB1;NOTCH2;HDAC2;SRC;GATA4;ATP1A1;HIF1A;FOXO1;MED12L;SLC9A1;NRAS;RXRA;MED30;PLCG2;PLCG1;MAPK3;CREBBP;STAT1;ESR1;MED13L;RHEB;CTNNB1;PLCD3;PFKM;PFKP
KEGG_2021_Human	Apelin signaling pathway	56/137	5.278002e-01	9.999969e-01	0	0	1.002124e+00	6.403947e-01	RYR1;CALML5;PDE3B;PRKAG2;PRKAG3;MYLK;SLC8A2;GNGT2;CDH1;AKT2;AKT3;AKT1;PRKACA;HRAS;MEF2A;GABARAPL2;PRKAB2;MAP2K2;SPHK2;PRKCE;SPHK1;RRAS2;TGFBR1;ADCY9;PLCB4;MYL2;TFAM;RAF1;PLCB1;HDAC4;HDAC5;ITPR1;ADCY4;ITPR2;ADCY3;ITPR3;ADCY2;ADCY6;GNAI1;SLC9A1;ADCY5;GNAI2;GNA13;NRAS;MEF2D;MAPK3;SMAD2;JAG1;SMAD3;NOS3;GNG12;RPS6KB1;GNB2;CALM3;CALM1;CALM2
KEGG_2021_Human	GnRH signaling pathway	38/93	5.367828e-01	9.999969e-01	0	0	1.001465e+00	6.230734e-01	CAMK2B;CALML5;SRC;ADCY4;ITPR1;ADCY3;ITPR2;ADCY2;CACNA1D;ITPR3;CACNA1C;ADCY6;ADCY5;MAPK8;NRAS;PTK2B;CACNA1S;PRKACA;HRAS;CAMK2G;MAPK3;MAP2K3;MAP2K2;PLA2G4D;MAPK14;MAPK12;MAPK13;ADCY9;PLCB4;GNAS;CALM3;GRB2;PLCB1;RAF1;SOS1;CALM1;CALM2;ATF4
KEGG_2021_Human	Inflammatory mediator regulation of TRP channels	40/98	5.392184e-01	9.999969e-01	0	0	9.996393e-01	6.174118e-01	CAMK2B;CALML5;SRC;ITPR1;ADCY4;ITPR2;ADCY3;ITPR3;ADCY2;IL1RAP;PIK3CB;PLA2G6;ADCY6;ADCY5;MAPK8;P2RY2;PLCG2;BDKRB2;BDKRB1;PLCG1;PRKACA;ASIC3;CAMK2G;MAP2K3;PRKCG;PRKCH;PLA2G4D;PRKCE;MAPK14;MAPK12;MAPK13;ADCY9;PLCB4;PIK3CA;GNAS;PRKCQ;CALM3;CALM1;PLCB1;CALM2
KEGG_2021_Human	Insulin resistance	44/108	5.438083e-01	9.999969e-01	0	0	9.964983e-01	6.070255e-01	PYGB;CRTC2;IRS1;PTEN;SLC2A1;PRKAG2;PPP1R3A;PIK3CB;PYGL;PRKCZ;FOXO1;PRKAG3;PTPRF;RPS6KA3;RPS6KA6;MAPK8;CREB3L3;AKT2;AKT3;AKT1;CD36;PCK2;SREBF1;CPT1A;PRKAB2;NOS3;PRKCE;GFPT2;INSR;NR1H2;STAT3;PTPN11;NFKB1;NFKBIA;CREB1;PPP1R3C;PIK3CA;RPS6KB1;PPP1R3E;PRKCQ;SLC27A3;SLC27A2;OGT;SLC27A5
KEGG_2021_Human	Adherens junction	29/71	5.438168e-01	9.999969e-01	0	0	1.000834e+00	6.096509e-01	SRC;WAS;PTPRJ;WASL;NLK;ACTB;PTPRF;IGF1R;CDH1;CTNNA1;RAC3;CTNNA3;RAC1;MAPK3;FARP2;CREBBP;TCF7L1;SMAD3;YES1;ACTN1;INSR;BAIAP2;TGFBR1;CTNNB1;NECTIN4;MET;SSX2IP;NECTIN2;NECTIN1
